,Index Name,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
1296,Nifty 50,NIFTY 50,21 Feb 2018,10426,10426.1,10349.6,10397.45
1297,Nifty 50,NIFTY 50,20 Feb 2018,10391,10429.35,10347.65,10360.40
1298,Nifty 50,NIFTY 50,19 Feb 2018,10488.9,10489.35,10302.75,10378.40
1299,Nifty 50,NIFTY 50,16 Feb 2018,10596.2,10612.9,10434.05,10452.30
1300,Nifty 50,NIFTY 50,15 Feb 2018,10537.9,10618.1,10511.05,10545.50
1301,Nifty 50,NIFTY 50,14 Feb 2018,10585.75,10590.55,10456.65,10500.90
1302,Nifty 50,NIFTY 50,12 Feb 2018,10518.2,10555.5,10485.4,10539.75
1303,Nifty 50,NIFTY 50,09 Feb 2018,10416.5,10480.2,10398.2,10454.95
1304,Nifty 50,NIFTY 50,08 Feb 2018,10518.5,10637.8,10479.55,10576.85
1305,Nifty 50,NIFTY 50,07 Feb 2018,10607.2,10614,10446.4,10476.70
1306,Nifty 50,NIFTY 50,06 Feb 2018,10295.15,10594.15,10276.3,10498.25
1307,Nifty 50,NIFTY 50,05 Feb 2018,10604.3,10702.75,10586.8,10666.55
1308,Nifty 50,NIFTY 50,02 Feb 2018,10938.2,10954.95,10736.1,10760.60
1309,Nifty 50,NIFTY 50,01 Feb 2018,11044.55,11117.35,10878.8,11016.90
1310,Nifty 50,NIFTY 50,31 Jan 2018,11018.8,11058.5,10979.3,11027.70
1311,Nifty 50,NIFTY 50,30 Jan 2018,11120.85,11121.1,11033.9,11049.65
1312,Nifty 50,NIFTY 50,29 Jan 2018,11079.35,11171.55,11075.95,11130.40
1313,Nifty 50,NIFTY 50,25 Jan 2018,11095.6,11095.6,11009.2,11069.65
1314,Nifty 50,NIFTY 50,24 Jan 2018,11069.35,11110.1,11046.15,11086.00
1315,Nifty 50,NIFTY 50,23 Jan 2018,10997.4,11092.9,10994.55,11083.70
1316,Nifty 50,NIFTY 50,22 Jan 2018,10883.2,10975.1,10881.4,10966.20
1317,Nifty 50,NIFTY 50,19 Jan 2018,10829.2,10906.85,10793.9,10894.70
1318,Nifty 50,NIFTY 50,18 Jan 2018,10873.4,10887.5,10782.4,10817.00
1319,Nifty 50,NIFTY 50,17 Jan 2018,10702.45,10803,10666.75,10788.55
1320,Nifty 50,NIFTY 50,16 Jan 2018,10761.5,10762.35,10687.85,10700.45
1321,Nifty 50,NIFTY 50,15 Jan 2018,10718.5,10782.65,10713.8,10741.55
1322,Nifty 50,NIFTY 50,12 Jan 2018,10682.55,10690.4,10597.1,10681.25
1323,Nifty 50,NIFTY 50,11 Jan 2018,10637.05,10664.6,10612.35,10651.20
1324,Nifty 50,NIFTY 50,10 Jan 2018,10652.05,10655.5,10592.7,10632.20
1325,Nifty 50,NIFTY 50,09 Jan 2018,10645.1,10659.15,10603.6,10637.00
1326,Nifty 50,NIFTY 50,08 Jan 2018,10591.7,10631.2,10588.55,10623.60
1327,Nifty 50,NIFTY 50,05 Jan 2018,10534.25,10566.1,10520.1,10558.85
1328,Nifty 50,NIFTY 50,04 Jan 2018,10469.4,10513,10441.45,10504.80
1329,Nifty 50,NIFTY 50,03 Jan 2018,10482.65,10503.6,10429.55,10443.20
1330,Nifty 50,NIFTY 50,02 Jan 2018,10477.55,10495.2,10404.65,10442.20
1331,Nifty 50,NIFTY 50,01 Jan 2018,10531.7,10537.85,10423.1,10435.55
1332,Nifty 50,Nifty 50,29 Dec 2017,10492.35,10538.7,10488.65,10530.00
1333,Nifty 50,Nifty 50,28 Dec 2017,10498.2,10534.55,10460.45,10477.00
1334,Nifty 50,Nifty 50,27 Dec 2017,10531.05,10552.4,10469.25,10490.00
1335,Nifty 50,Nifty 50,26 Dec 2017,10512.3,10545.45,10477.95,10531.00
1336,Nifty 50,Nifty 50,22 Dec 2017,10457.3,10501.1,10448.25,10493.00
1337,Nifty 50,Nifty 50,21 Dec 2017,10473.95,10473.95,10426.9,10440.00
1338,Nifty 50,Nifty 50,20 Dec 2017,10494.4,10494.45,10437.15,10444.00
1339,Nifty 50,Nifty 50,19 Dec 2017,10414.8,10472.2,10406,10463.00
1340,Nifty 50,Nifty 50,18 Dec 2017,10263.1,10443.55,10074.8,10388.00
1341,Nifty 50,Nifty 50,15 Dec 2017,10345.65,10373.1,10319.65,10333.00
1342,Nifty 50,Nifty 50,14 Dec 2017,10229.3,10276.1,10141.55,10252.00
1343,Nifty 50,Nifty 50,13 Dec 2017,10236.6,10296.55,10169.85,10192.00
